evento,driver,codice,prob_mercato,volume,data
F1 Drivers' Champion,Oscar Piastri,PIA,0.0075,6060819.861972005,2025-12-09
Hungarian Grand Prix: Driver Pole Position,Isack Hadjar,HAD,0.0065,540.8055999999999,2026-06-27
Hungarian Grand Prix: Driver Winner,Isack Hadjar,HAD,0.006,3486.5326040000004,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Alpine,,0.006,57.27,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Aston Martin,,0.006,57.269999999999996,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Williams,,0.006,57.27,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Cadillac,,0.006,57.27,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Tgr Haas,,0.006,57.27,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Pierre Gasly,GAS,0.006,50,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Alexander Albon,ALB,0.006,50,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Gabriel Bortoleto,BOR,0.006,50,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Sergio Perez,PER,0.006,50,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Esteban Ocon,OCO,0.006,50,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Franco Colapinto,COL,0.006,50,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Carlos Sainz Jr.,SAI,0.006,50,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Nico Hulkenberg,HUL,0.006,50,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Valtteri Bottas,BOT,0.006,50,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Oliver Bearman,BEA,0.006,50,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Lance Stroll,STR,0.006,50,2026-06-27
Hungarian Grand Prix: Driver Winner,Fernando Alonso,ALO,0.0055,2922.891,2026-06-27
Hungarian Grand Prix: Driver Winner,Lance Stroll,STR,0.0055,1247.9330000000002,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Oliver Bearman,BEA,0.0055,358.9789999999999,2026-06-27
F1 Constructors' Champion,McLaren,,0.0045,1669795.8516269922,2025-12-09
F1 Constructors' Champion,Racing Bulls,,0.0035,3128601.6036648774,2025-12-09
Hungarian Grand Prix: Which Constructor Scores 1st?,Aston Martin,,0.0035,179.5039,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Cadillac,,0.0035,179.5039,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Tgr Haas,,0.0035,179.5039,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Alpine,,0.003,114.46,2026-06-27
F1 Constructors' Champion,Red Bull Racing,,0.0025,790594.2777289985,2025-12-09
Hungarian Grand Prix: Driver Pole Position,Gabriel Bortoleto,BOR,0.0025,347.46149999999994,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Carlos Sainz Jr.,SAI,0.0025,372.4614999999999,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Williams,,0.0025,184.452333,2026-06-27
F1 Drivers' Champion,Esteban Ocon,OCO,0.0015,9400388.961027408,2025-12-09
F1 Constructors' Champion,Aston Martin,,0.0015,3181641.4452869324,2025-12-09
Hungarian Grand Prix: Driver Pole Position,Fernando Alonso,ALO,0.0015,560.773722,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Franco Colapinto,COL,0.0015,362.6789999999999,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Nico Hulkenberg,HUL,0.0015,347.7309999999999,2026-06-27
F1 Drivers' Champion,Isack Hadjar,HAD,0.0005,9359463.933225278,2025-12-09
F1 Drivers' Champion,Fernando Alonso,ALO,0.0005,9077090.837374564,2025-12-09
F1 Drivers' Champion,Lance Stroll,STR,0.0005,11679187.195504647,2025-12-09
F1 Drivers' Champion,Oliver Bearman,BEA,0.0005,12882664.206555411,2025-12-09
F1 Drivers' Champion,Nico Hülkenberg,HUL,0.0005,8459576.263715317,2025-12-09
F1 Drivers' Champion,Gabriel Bortoleto,BOR,0.0005,10915001.541449985,2025-12-09
F1 Drivers' Champion,Pierre Gasly,GAS,0.0005,11500563.851431504,2025-12-09
F1 Drivers' Champion,Franco Colapinto,COL,0.0005,12213511.091519145,2025-12-09
F1 Drivers' Champion,Liam Lawson,LAW,0.0005,10709026.356793085,2025-12-09
F1 Drivers' Champion,Arvid Lindblad,LIN,0.0005,12038787.985626183,2025-12-09
F1 Drivers' Champion,Alexander Albon,ALB,0.0005,11864645.66001192,2025-12-09
F1 Drivers' Champion,Carlos Sainz Jr.,SAI,0.0005,11082113.950266168,2025-12-09
F1 Drivers' Champion,Valtteri Bottas,BOT,0.0005,12192205.107809613,2025-12-09
F1 Drivers' Champion,Sergio Pérez,PER,0.0005,11786654.764410239,2025-12-09
F1 Constructors' Champion,Williams,,0.0005,3808173.692617894,2025-12-09
F1 Constructors' Champion,Haas,,0.0005,3315785.024210928,2025-12-09
F1 Constructors' Champion,Audi,,0.0005,3245112.3860269655,2025-12-09
F1 Constructors' Champion,Alpine,,0.0005,3344682.516012963,2025-12-09
F1 Constructors' Champion,Cadillac,,0.0005,3708316.0570528274,2025-12-09
Hungarian Grand Prix: Driver Winner,Pierre Gasly,GAS,0.0005,969.025,2026-06-27
Hungarian Grand Prix: Driver Winner,Alexander Albon,ALB,0.0005,522.835,2026-06-27
Hungarian Grand Prix: Driver Winner,Gabriel Bortoleto,BOR,0.0005,511.83500000000004,2026-06-27
Hungarian Grand Prix: Driver Winner,Sergio Perez,PER,0.0005,518.835,2026-06-27
Hungarian Grand Prix: Driver Winner,Esteban Ocon,OCO,0.0005,518.835,2026-06-27
Hungarian Grand Prix: Driver Winner,Franco Colapinto,COL,0.0005,518.835,2026-06-27
Hungarian Grand Prix: Driver Winner,Carlos Sainz Jr.,SAI,0.0005,518.835,2026-06-27
Hungarian Grand Prix: Driver Winner,Nico Hulkenberg,HUL,0.0005,516.835,2026-06-27
Hungarian Grand Prix: Driver Winner,Valtteri Bottas,BOT,0.0005,499.83500000000004,2026-06-27
Hungarian Grand Prix: Driver Winner,Oliver Bearman,BEA,0.0005,518.835,2026-06-27
Hungarian Grand Prix: Driver Winner,Arvid Lindblad,LIN,0.0005,810.726,2026-06-27
Hungarian Grand Prix: Driver Winner,Liam Lawson,LAW,0.0005,1804.1109999999996,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Pierre Gasly,GAS,0.0005,373.97999999999996,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Alexander Albon,ALB,0.0005,380.05249999999995,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Sergio Perez,PER,0.0005,385.04849999999993,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Esteban Ocon,OCO,0.0005,370.3425,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Valtteri Bottas,BOT,0.0005,380.05249999999995,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Arvid Lindblad,LIN,0.0005,373.9795,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Liam Lawson,LAW,0.0005,305.0525,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Lance Stroll,STR,0.0005,395.0784999999999,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Pierre Gasly,GAS,0.0005,359,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Sergio Perez,PER,0.0005,275.1,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Max Verstappen,VER,0.0005,260,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Franco Colapinto,COL,0.0005,215.212,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Valtteri Bottas,BOT,0.0005,275.1,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,George Russell,RUS,0.0005,308.98199999999997,2026-06-27
