Team,ExpectedPoints
Ferrari,35.24668
Red Bull Racing,20.811020000000003
McLaren,15.797540000000001
Mercedes,14.154240000000003
Racing Bulls,10.14792
Audi,3.4270199999999997
Haas F1 Team,1.20878
Alpine,0.15774
Williams,0.04898
Cadillac,8e-05
Aston Martin,0.0
