evento,driver,codice,prob_mercato,volume,data
Hungarian Grand Prix: Driver Podium Finish,Nico Hulkenberg,HUL,0.0135,131.58,2026-06-27
Hungarian Grand Prix: Driver Winner,Oscar Piastri,PIA,0.012,25405.631029999993,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Pierre Gasly,GAS,0.0105,55,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Fernando Alonso,ALO,0.0105,101.69,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Alexander Albon,ALB,0.0105,55,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Sergio Perez,PER,0.0105,75.69,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Esteban Ocon,OCO,0.0105,55,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Franco Colapinto,COL,0.0105,89,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Carlos Sainz Jr.,SAI,0.0105,55,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Valtteri Bottas,BOT,0.0105,55,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Lance Stroll,STR,0.0105,55,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Alexander Albon,ALB,0.0105,117.47,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Gabriel Bortoleto,BOR,0.0105,104.82999999999998,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Franco Colapinto,COL,0.0105,147.89974999999998,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Carlos Sainz Jr.,SAI,0.0105,128.93,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Oliver Bearman,BEA,0.0105,118.4,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Liam Lawson,LAW,0.0105,79.85,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Lance Stroll,STR,0.0105,344.62,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Nico Hulkenberg,HUL,0.01,55,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Pierre Gasly,GAS,0.01,164.68,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Esteban Ocon,OCO,0.01,163.51000000000002,2026-06-27
F1 Drivers' Champion,Oscar Piastri,PIA,0.0075,6063438.246914001,2025-12-09
Hungarian Grand Prix: Constructor Fastest Lap,Alpine,,0.0055,57.27,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Aston Martin,,0.0055,57.269999999999996,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Williams,,0.0055,57.27,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Cadillac,,0.0055,57.27,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Tgr Haas,,0.0055,57.27,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Sergio Perez,PER,0.0055,203.93,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Red Bull,,0.005,196.310449,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Valtteri Bottas,BOT,0.005,203.93,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Williams,,0.0045,413.56233299999997,2026-06-27
F1 Constructors' Champion,McLaren,,0.004,1682270.8589589922,2025-12-09
F1 Constructors' Champion,Racing Bulls,,0.0035,3138375.2686568773,2025-12-09
Hungarian Grand Prix: Driver Winner,Lance Stroll,STR,0.0035,1247.9330000000002,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Tgr Haas,,0.0035,179.5039,2026-06-27
F1 Constructors' Champion,Red Bull Racing,,0.0025,803045.2160609983,2025-12-09
Hungarian Grand Prix: Driver Winner,Fernando Alonso,ALO,0.0025,2922.891,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Alpine,,0.0025,163.7185,2026-06-27
Hungarian Grand Prix: Driver Winner,Isack Hadjar,HAD,0.002,87206.53496399999,2026-06-27
F1 Drivers' Champion,Esteban Ocon,OCO,0.0015,9410388.082027407,2025-12-09
F1 Constructors' Champion,Aston Martin,,0.0015,3190474.8692869316,2025-12-09
Hungarian Grand Prix: Driver Pole Position,Max Verstappen,VER,0.0015,21992.796227000006,2026-06-27
Hungarian Grand Prix: Driver Pole Position,George Russell,RUS,0.0015,10965.946543,2026-06-27
F1 Drivers' Champion,Isack Hadjar,HAD,0.0005,9359473.733225279,2025-12-09
F1 Drivers' Champion,Fernando Alonso,ALO,0.0005,9127103.747374564,2025-12-09
F1 Drivers' Champion,Lance Stroll,STR,0.0005,11729189.695504647,2025-12-09
F1 Drivers' Champion,Oliver Bearman,BEA,0.0005,12882710.24655541,2025-12-09
F1 Drivers' Champion,Nico Hülkenberg,HUL,0.0005,8459585.163715318,2025-12-09
F1 Drivers' Champion,Gabriel Bortoleto,BOR,0.0005,10915037.271449985,2025-12-09
F1 Drivers' Champion,Pierre Gasly,GAS,0.0005,11500566.351431504,2025-12-09
F1 Drivers' Champion,Franco Colapinto,COL,0.0005,12213553.981519144,2025-12-09
F1 Drivers' Champion,Liam Lawson,LAW,0.0005,10709054.966793085,2025-12-09
F1 Drivers' Champion,Arvid Lindblad,LIN,0.0005,12038797.185626183,2025-12-09
F1 Drivers' Champion,Alexander Albon,ALB,0.0005,11864697.41001192,2025-12-09
F1 Drivers' Champion,Carlos Sainz Jr.,SAI,0.0005,11082115.150266167,2025-12-09
F1 Drivers' Champion,Valtteri Bottas,BOT,0.0005,12192205.107809613,2025-12-09
F1 Drivers' Champion,Sergio Pérez,PER,0.0005,11786654.764410239,2025-12-09
F1 Constructors' Champion,Williams,,0.0005,3808173.692617894,2025-12-09
F1 Constructors' Champion,Haas,,0.0005,3315785.114210928,2025-12-09
F1 Constructors' Champion,Audi,,0.0005,3245112.4560269653,2025-12-09
F1 Constructors' Champion,Alpine,,0.0005,3344682.516012963,2025-12-09
F1 Constructors' Champion,Cadillac,,0.0005,3708316.0570528274,2025-12-09
Hungarian Grand Prix: Driver Winner,Pierre Gasly,GAS,0.0005,1969.025,2026-06-27
Hungarian Grand Prix: Driver Winner,Alexander Albon,ALB,0.0005,522.835,2026-06-27
Hungarian Grand Prix: Driver Winner,Gabriel Bortoleto,BOR,0.0005,511.83500000000004,2026-06-27
Hungarian Grand Prix: Driver Winner,Sergio Perez,PER,0.0005,1518.835,2026-06-27
Hungarian Grand Prix: Driver Winner,Esteban Ocon,OCO,0.0005,518.835,2026-06-27
Hungarian Grand Prix: Driver Winner,Franco Colapinto,COL,0.0005,518.835,2026-06-27
Hungarian Grand Prix: Driver Winner,Carlos Sainz Jr.,SAI,0.0005,518.835,2026-06-27
Hungarian Grand Prix: Driver Winner,Nico Hulkenberg,HUL,0.0005,516.835,2026-06-27
Hungarian Grand Prix: Driver Winner,Valtteri Bottas,BOT,0.0005,499.83500000000004,2026-06-27
Hungarian Grand Prix: Driver Winner,Oliver Bearman,BEA,0.0005,518.835,2026-06-27
Hungarian Grand Prix: Driver Winner,Arvid Lindblad,LIN,0.0005,810.726,2026-06-27
Hungarian Grand Prix: Driver Winner,Liam Lawson,LAW,0.0005,1804.1109999999996,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Aston Martin,,0.0005,362.6739,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Cadillac,,0.0005,362.6739,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Pierre Gasly,GAS,0.0005,373.97999999999996,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Fernando Alonso,ALO,0.0005,586.6037220000001,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Alexander Albon,ALB,0.0005,398.98249999999996,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Gabriel Bortoleto,BOR,0.0005,373.75149999999996,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Sergio Perez,PER,0.0005,403.97849999999994,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Charles Leclerc,LEC,0.0005,18083.544354999998,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Esteban Ocon,OCO,0.0005,378.98249999999996,2026-06-27
