Team,ExpectedPoints
Ferrari,33.262100000000004
McLaren,26.13702
Mercedes,20.64012
Red Bull Racing,11.692440000000001
Racing Bulls,4.878519999999999
Audi,2.09816
Alpine,1.90518
Haas F1 Team,0.2682
Williams,0.11818000000000001
Aston Martin,6e-05
Cadillac,2e-05
