evento,tipo,driver,codice,prob_raw,prob_novig,volume,data
Will there be a safety car during the 2026 F1 Dutch Grand Prix?,altro,Will there be a safety car during the 2026 F1 Dutch Grand Prix?,,0.69,1.0,,2026-07-25
Hungarian Grand Prix: Driver Winner,vincitore_gara,Lando Norris,NOR,0.3495,0.3242,67982.70828600008,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Charles Leclerc,LEC,0.27,0.2505,56974.037304999816,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Kimi Antonelli,ANT,0.215,0.1994,71862.04182199997,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Lewis Hamilton,HAM,0.17,0.1577,53204.27989899998,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Max Verstappen,VER,0.0285,0.0264,28028.365733000017,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,George Russell,RUS,0.019,0.0176,22836.35404400001,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Oscar Piastri,PIA,0.012,0.0111,25405.631029999993,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Lance Stroll,STR,0.0035,0.0032,1247.9330000000002,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Fernando Alonso,ALO,0.0025,0.0023,2922.891,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Isack Hadjar,HAD,0.002,0.0019,87206.53496399999,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Pierre Gasly,GAS,0.0005,0.0005,1969.025,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Alexander Albon,ALB,0.0005,0.0005,522.835,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Gabriel Bortoleto,BOR,0.0005,0.0005,511.83500000000004,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Sergio Perez,PER,0.0005,0.0005,1518.835,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Esteban Ocon,OCO,0.0005,0.0005,518.835,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Franco Colapinto,COL,0.0005,0.0005,518.835,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Carlos Sainz Jr.,SAI,0.0005,0.0005,518.835,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Nico Hulkenberg,HUL,0.0005,0.0005,516.835,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Valtteri Bottas,BOT,0.0005,0.0005,499.83500000000004,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Oliver Bearman,BEA,0.0005,0.0005,518.835,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Arvid Lindblad,LIN,0.0005,0.0005,810.726,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Liam Lawson,LAW,0.0005,0.0005,1804.1109999999996,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Lando Norris,NOR,0.3245,0.2552,327.47615199999996,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Kimi Antonelli,ANT,0.235,0.1848,1715.0571320000001,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Lewis Hamilton,HAM,0.175,0.1376,1438.090485,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Charles Leclerc,LEC,0.17,0.1337,641.1879309999999,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,George Russell,RUS,0.08,0.0629,107.37604100000001,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Max Verstappen,VER,0.07,0.0551,1508.2334879999999,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Oscar Piastri,PIA,0.029,0.0228,108.061223,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Liam Lawson,LAW,0.0195,0.0153,28.6868,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Isack Hadjar,HAD,0.017,0.0134,5,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Arvid Lindblad,LIN,0.016,0.0126,5,2026-06-27
