Team,ExpectedPoints
Mercedes,31.656179999999992
McLaren,22.41872
Red Bull Racing,19.844959999999997
Ferrari,18.18128
Racing Bulls,6.286899999999999
Alpine,1.2326599999999999
Audi,1.04514
Haas F1 Team,0.30294
Williams,0.03098
Cadillac,0.00024
Aston Martin,0.0
