,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P_BeatTeammate,P_DNF
ANT,0.39138,0.27016,0.14952,0.06492,0.01924,0.00248,0.00052,2e-05,0.0,0.0,0.0,0.0,0.0,2e-05,0.00012,0.0006,0.00138,0.00436,0.01016,0.01938,0.02938,0.03636,0.72436,0.10073421457156917
NOR,0.26822,0.23172,0.16642,0.11352,0.06274,0.02202,0.0122,0.008,0.00406,0.00226,0.00118,0.00052,0.00026,0.00012,0.0001,0.00046,0.00146,0.00414,0.0108,0.02096,0.03102,0.03782,0.8586,0.10665975660519088
VER,0.19684,0.16936,0.14316,0.13832,0.13418,0.04772,0.01814,0.00996,0.00646,0.0043,0.00228,0.00118,0.00042,0.00044,0.0001,0.00046,0.00224,0.00582,0.01184,0.02354,0.0368,0.04644,0.83488,0.12573214005493152
RUS,0.09868,0.19878,0.26792,0.21506,0.0944,0.02006,0.00338,0.0005,0.0001,0.0,0.0,0.0,0.0,2e-05,2e-05,0.00046,0.00186,0.00422,0.00962,0.01882,0.0295,0.0366,0.27564,0.10073421457156917
HAM,0.043,0.12,0.22924,0.2883,0.19046,0.04186,0.0089,0.00152,0.00016,8e-05,2e-05,0.0,0.0,0.0,0.0002,0.00022,0.0011,0.00364,0.0075,0.01374,0.02252,0.02754,0.91764,0.0757362890882068
LEC,2e-05,0.00062,0.00522,0.03068,0.11172,0.22396,0.25702,0.16666,0.0681,0.03676,0.01538,0.00428,0.0011,0.00018,8e-05,0.00046,0.00112,0.00314,0.00834,0.0143,0.02278,0.02808,0.08236,0.0757362890882068
HAD,0.00088,0.00468,0.0181,0.0628,0.16054,0.23156,0.16946,0.1095,0.05408,0.02664,0.01206,0.00742,0.00476,0.00352,0.00188,0.00132,0.00168,0.0058,0.01368,0.02548,0.03716,0.047,0.16512,0.12573214005493152
PIA,0.00096,0.0043,0.01898,0.07598,0.18044,0.26316,0.18756,0.0876,0.03206,0.01716,0.00976,0.00614,0.0037,0.00182,0.0013,0.00088,0.002,0.00488,0.01076,0.02064,0.03104,0.03888,0.1414,0.10665975660519088
LIN,2e-05,0.00026,0.00086,0.00602,0.02488,0.07286,0.15728,0.23484,0.2176,0.11544,0.04062,0.01968,0.01128,0.00794,0.00526,0.00318,0.00234,0.00416,0.0078,0.01544,0.02304,0.0292,0.56792,0.07790018306215556
LAW,0.0,0.0001,0.00052,0.0036,0.0168,0.05354,0.1235,0.21578,0.2543,0.16938,0.05816,0.01866,0.00432,0.00102,0.00022,0.00024,0.00114,0.00314,0.0082,0.01502,0.02426,0.0281,0.43208,0.07790018306215556
BOR,0.0,0.0,0.0,0.0,0.0,0.00032,0.0018,0.00602,0.02178,0.0544,0.10724,0.15966,0.1771,0.14974,0.09528,0.04408,0.01886,0.0126,0.01802,0.0297,0.04598,0.05742,0.24578,0.15503663883938804
HUL,0.0,2e-05,4e-05,0.0006,0.00232,0.00972,0.02632,0.06136,0.1155,0.16626,0.1774,0.13112,0.07628,0.0383,0.01916,0.01044,0.0076,0.00942,0.01572,0.02992,0.04534,0.05716,0.75422,0.15503663883938804
GAS,0.0,0.0,0.0,0.0,0.0,0.00014,0.0007,0.00364,0.01462,0.0496,0.11122,0.19086,0.23156,0.1957,0.10682,0.03472,0.0073,0.00314,0.00632,0.00994,0.01522,0.0185,0.09504,0.05073836360484442
COL,0.0,0.0,2e-05,0.00018,0.00204,0.00922,0.02828,0.07768,0.1603,0.23632,0.24146,0.12624,0.04868,0.01354,0.00262,0.0005,0.0009,0.0025,0.00578,0.01032,0.0149,0.01852,0.90496,0.05073836360484442
BEA,0.0,0.0,0.0,2e-05,0.00024,0.00138,0.00466,0.01568,0.04614,0.10486,0.17208,0.20876,0.17708,0.10816,0.05042,0.0184,0.01014,0.00732,0.0091,0.0161,0.0222,0.02726,0.89648,0.0757362890882068
SAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.00012,0.00084,0.00378,0.01526,0.04356,0.10516,0.18668,0.22728,0.18642,0.08722,0.03022,0.02888,0.03734,0.04722,0.2234,0.12932448691364387
OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-05,0.00012,0.00096,0.00528,0.01798,0.0559,0.12486,0.20938,0.24714,0.18244,0.07226,0.0169,0.01608,0.02356,0.02708,0.10352,0.0757362890882068
ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.00028,0.00116,0.00446,0.01458,0.04134,0.0889,0.15058,0.20284,0.19144,0.11354,0.03994,0.02036,0.01796,0.02646,0.03842,0.04774,0.7766,0.12932448691364387
PER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,8e-05,0.00048,0.0027,0.01152,0.03476,0.08772,0.16794,0.22412,0.20586,0.12058,0.06796,0.07624,0.31564,0.20072591650501867
BOT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.00012,0.00066,0.00252,0.00936,0.0298,0.07304,0.14304,0.20372,0.21076,0.1285,0.06034,0.06206,0.07604,0.68436,0.20072591650501867
ALO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032,0.00098,0.0042,0.01634,0.04686,0.10888,0.19114,0.24386,0.209,0.11416,0.06426,0.84066,0.1757279910216563
STR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.00038,0.0011,0.00478,0.018,0.04954,0.11586,0.20306,0.25536,0.22536,0.12654,0.15934,0.1757279910216563
