,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22
ANT,0.26926,0.19526,0.1566,0.12378,0.09602,0.06924,0.04502,0.02344,0.0115,0.00546,0.00236,0.00124,0.0005,0.00016,0.0001,4e-05,2e-05,0.0,0.0,0.0,0.0,0.0
RUS,0.21532,0.18592,0.1581,0.13176,0.10836,0.08352,0.05716,0.03184,0.01462,0.00682,0.00352,0.00178,0.00078,0.00024,0.00018,4e-05,2e-05,2e-05,0.0,0.0,0.0,0.0
LEC,0.13216,0.14328,0.14258,0.1403,0.13236,0.114,0.08786,0.05202,0.02656,0.01392,0.00764,0.00362,0.00198,0.00098,0.00036,0.00026,6e-05,6e-05,0.0,0.0,0.0,0.0
HAM,0.1295,0.14376,0.14594,0.13952,0.13038,0.11406,0.08836,0.05352,0.02628,0.01456,0.00718,0.00352,0.00206,0.00086,0.0003,0.00012,4e-05,4e-05,0.0,0.0,0.0,0.0
PIA,0.10772,0.12528,0.13798,0.14278,0.1345,0.1236,0.0974,0.06288,0.03328,0.01608,0.00898,0.00504,0.00254,0.00106,0.00052,0.00018,0.00012,6e-05,0.0,0.0,0.0,0.0
NOR,0.09024,0.11272,0.12674,0.13546,0.13994,0.13078,0.10832,0.0716,0.03858,0.02016,0.01188,0.00646,0.00336,0.0021,0.001,0.00048,0.00016,2e-05,0.0,0.0,0.0,0.0
VER,0.0455,0.07016,0.08802,0.11112,0.1309,0.14486,0.1436,0.10608,0.06698,0.03926,0.02262,0.01336,0.00852,0.00462,0.0024,0.00134,0.00052,0.00012,2e-05,0.0,0.0,0.0
HAD,0.00834,0.01822,0.03098,0.04748,0.06782,0.1014,0.13766,0.1643,0.13026,0.0964,0.0662,0.04746,0.0323,0.02178,0.01402,0.00896,0.00422,0.00202,0.00016,2e-05,0.0,0.0
HUL,0.00046,0.00112,0.00232,0.00542,0.01196,0.02258,0.03908,0.07284,0.10004,0.10998,0.11376,0.10924,0.09986,0.09004,0.07588,0.06262,0.04796,0.02784,0.00578,0.00118,4e-05,0.0
LIN,0.00038,0.00102,0.00266,0.0048,0.01054,0.01982,0.0404,0.06786,0.09902,0.10976,0.11154,0.10952,0.1003,0.09034,0.0812,0.06542,0.04826,0.02908,0.00678,0.00116,0.00014,0.0
BOR,0.00032,0.00104,0.00212,0.0049,0.00924,0.01868,0.03622,0.06458,0.0922,0.1083,0.10994,0.10804,0.10536,0.09336,0.08438,0.06934,0.0522,0.03088,0.0075,0.00122,0.00018,0.0
LAW,0.00036,0.00084,0.00238,0.0045,0.00958,0.01796,0.03502,0.06292,0.09352,0.10312,0.1095,0.10878,0.10194,0.09424,0.08728,0.0733,0.05438,0.03232,0.00702,0.00098,6e-05,0.0
GAS,0.00014,0.00072,0.00168,0.00338,0.00746,0.01492,0.02968,0.05406,0.08044,0.09922,0.108,0.10684,0.10476,0.10174,0.09366,0.07928,0.0629,0.03982,0.0094,0.0017,0.0002,0.0
COL,0.00016,0.00044,0.00102,0.00266,0.0056,0.0114,0.02368,0.0486,0.07272,0.08864,0.1004,0.10652,0.1059,0.10568,0.09852,0.08988,0.075,0.04928,0.01108,0.00252,0.0003,0.0
BEA,8e-05,0.00014,0.00058,0.0014,0.0032,0.00778,0.01576,0.03122,0.05076,0.0695,0.0814,0.09522,0.10684,0.11096,0.11728,0.11194,0.09958,0.07216,0.01954,0.0042,0.00046,0.0
SAI,2e-05,2e-05,0.0002,0.00032,0.0012,0.0029,0.00662,0.01398,0.0275,0.04226,0.05658,0.06966,0.0856,0.10482,0.12084,0.13692,0.14726,0.12856,0.04196,0.01114,0.00164,0.0
OCO,4e-05,6e-05,8e-05,0.0004,0.00072,0.00202,0.00662,0.01346,0.02656,0.03918,0.0523,0.06612,0.08288,0.10072,0.11736,0.13922,0.1544,0.13782,0.0454,0.0124,0.00224,0.0
ALB,0.0,0.0,2e-05,2e-05,0.00022,0.00046,0.00152,0.00478,0.00902,0.01708,0.02556,0.03578,0.05144,0.06922,0.09174,0.1296,0.17904,0.2438,0.1024,0.03106,0.0072,4e-05
PER,0.0,0.0,0.0,0.0,0.0,2e-05,0.0,2e-05,0.00014,0.00024,0.00042,0.0012,0.0021,0.00446,0.00828,0.01866,0.04144,0.10636,0.3467,0.30192,0.1566,0.01144
BOT,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0,2e-05,6e-05,0.00022,0.00056,0.0009,0.0024,0.00418,0.0103,0.02646,0.07636,0.27612,0.35936,0.22428,0.01876
ALO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,8e-05,0.00022,0.00052,0.0021,0.00596,0.02328,0.1181,0.25816,0.52366,0.06788
STR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.00204,0.01298,0.083,0.90188
