evento,driver,codice,prob_mercato,volume,data
F1 Constructors' Champion,Mercedes,,0.835,895715.3376259957,2025-12-09
Hungarian Grand Prix: Driver Podium Finish,Kimi Antonelli,ANT,0.76,36.410254,2026-06-27
F1 Drivers' Champion,Kimi Antonelli,ANT,0.7425,3783322.2444919897,2025-12-09
Hungarian Grand Prix: Driver Podium Finish,Lewis Hamilton,HAM,0.555,254.626665,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Charles Leclerc,LEC,0.53,1088,2026-06-27
Will there be a safety car during the 2026 F1 Hungarian Grand Prix?,Will there be a safety car during the 2026 F1 Hungarian Grand Prix?,,0.51,68.884366,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Mercedes,,0.485,69.910713,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Charles Leclerc,LEC,0.475,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Charles Leclerc,LEC,0.475,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,George Russell,RUS,0.47,18.181817,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Mercedes,,0.46,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,George Russell,RUS,0.46,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Kimi Antonelli,ANT,0.455,1.28205,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,George Russell,RUS,0.455,25,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Isack Hadjar,HAD,0.45,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Lewis Hamilton,HAM,0.45,25,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Max Verstappen,VER,0.445,25,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Charles Leclerc,LEC,0.445,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Kimi Antonelli,ANT,0.445,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,George Russell,RUS,0.445,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Lando Norris,NOR,0.44,,2026-06-27
