evento,tipo,driver,codice,prob_raw,prob_novig,volume,data
F1 Constructors' Champion,champ_costruttori,Mercedes,,0.875,0.8785,944616.411727996,2025-12-09
F1 Constructors' Champion,champ_costruttori,Ferrari,,0.1055,0.1059,626255.970771002,2025-12-09
F1 Constructors' Champion,champ_costruttori,McLaren,,0.0055,0.0055,1664738.1485879922,2025-12-09
F1 Constructors' Champion,champ_costruttori,Racing Bulls,,0.0035,0.0035,3122027.261346878,2025-12-09
F1 Constructors' Champion,champ_costruttori,Red Bull Racing,,0.0025,0.0025,781778.4513959984,2025-12-09
F1 Constructors' Champion,champ_costruttori,Aston Martin,,0.0015,0.0015,3172479.9722869326,2025-12-09
F1 Constructors' Champion,champ_costruttori,Williams,,0.0005,0.0005,3808138.6626178944,2025-12-09
F1 Constructors' Champion,champ_costruttori,Haas,,0.0005,0.0005,3315783.1542109284,2025-12-09
F1 Constructors' Champion,champ_costruttori,Audi,,0.0005,0.0005,3245112.3860269655,2025-12-09
F1 Constructors' Champion,champ_costruttori,Alpine,,0.0005,0.0005,3344680.476012963,2025-12-09
F1 Constructors' Champion,champ_costruttori,Cadillac,,0.0005,0.0005,3708316.0570528274,2025-12-09
F1 Drivers' Champion,champ_piloti,Kimi Antonelli,ANT,0.7445,0.7271,3786593.59373599,2025-12-09
F1 Drivers' Champion,champ_piloti,Lewis Hamilton,HAM,0.1105,0.1079,5072182.1235209275,2025-12-09
F1 Drivers' Champion,champ_piloti,George Russell,RUS,0.085,0.083,2479460.36615899,2025-12-09
F1 Drivers' Champion,champ_piloti,Charles Leclerc,LEC,0.0295,0.0288,5070725.094463014,2025-12-09
F1 Drivers' Champion,champ_piloti,Max Verstappen,VER,0.0195,0.019,5741377.08944397,2025-12-09
F1 Drivers' Champion,champ_piloti,Lando Norris,NOR,0.0175,0.0171,6503481.699337976,2025-12-09
F1 Drivers' Champion,champ_piloti,Oscar Piastri,PIA,0.009,0.0088,6033906.758549013,2025-12-09
F1 Drivers' Champion,champ_piloti,Esteban Ocon,OCO,0.0015,0.0015,9384280.05302741,2025-12-09
F1 Drivers' Champion,champ_piloti,Isack Hadjar,HAD,0.0005,0.0005,9357463.933225278,2025-12-09
F1 Drivers' Champion,champ_piloti,Fernando Alonso,ALO,0.0005,0.0005,9077070.817374565,2025-12-09
F1 Drivers' Champion,champ_piloti,Lance Stroll,STR,0.0005,0.0005,11677174.165504646,2025-12-09
F1 Drivers' Champion,champ_piloti,Oliver Bearman,BEA,0.0005,0.0005,12882607.656555412,2025-12-09
F1 Drivers' Champion,champ_piloti,Nico Hülkenberg,HUL,0.0005,0.0005,8459535.753715318,2025-12-09
F1 Drivers' Champion,champ_piloti,Gabriel Bortoleto,BOR,0.0005,0.0005,10914767.661449986,2025-12-09
F1 Drivers' Champion,champ_piloti,Pierre Gasly,GAS,0.0005,0.0005,11500554.141431503,2025-12-09
F1 Drivers' Champion,champ_piloti,Franco Colapinto,COL,0.0005,0.0005,12213434.021519147,2025-12-09
F1 Drivers' Champion,champ_piloti,Liam Lawson,LAW,0.0005,0.0005,10707013.946793085,2025-12-09
F1 Drivers' Champion,champ_piloti,Arvid Lindblad,LIN,0.0005,0.0005,12038759.775626183,2025-12-09
