Team,ExpectedPoints
Mercedes,35.214420000000004
Ferrari,29.35262
McLaren,15.9298
Red Bull Racing,10.89134
Alpine,3.18984
Racing Bulls,3.09516
Audi,2.7665600000000006
Haas F1 Team,0.42347999999999997
Williams,0.13658
Cadillac,0.0002
Aston Martin,0.0
