Driver,Team,BestLap_s,LongRunPace_s,Degradation_s_per_lap,TotalLaps,CompositeScore,PredictedPosition,GridPos,_has_pace,P_Win,P_Podium,P_Top5,P_Top6,P_Top10,P_DNF,P_Points,ExpectedPoints,P_BeatTeammate,Reliability,BestLap_fmt,RacePace_fmt,Degradation_fmt
HUL,Audi,67.636,91.8531,-0.7075152394329673,1153,0.49726407438812037,11,9,1,0.0,0.0006,0.02604,0.08736,0.45165600827510033,0.15503663883938804,0.45165600827510033,2.3455200000000005,0.76052,0.7,1:07.636,1:31.853,-0.708s/lap
LAW,Racing Bulls,66.98,91.7019,-0.33597346132527656,1099,0.4661400293227391,12,12,1,0.0,0.00042,0.019680000000000003,0.07188,0.7627967454115094,0.07790018306215556,0.7627967454115094,2.56284,0.81992,0.9,1:06.980,1:31.702,-0.336s/lap
GAS,Alpine,67.248,91.5208,-0.3782542167960653,1134,0.4584700626620639,13,13,1,0.0,0.00024,0.01822,0.06686,0.7627967454115094,0.05073836360484442,0.7627967454115094,2.4820599999999997,0.80844,0.9,1:07.248,1:31.521,-0.378s/lap
COL,Alpine,67.919,91.6288,-0.584879407978261,1116,0.3844719196301549,14,14,1,0.0,2e-05,0.0027199999999999998,0.0115,0.23994523235804416,0.05073836360484442,0.23994523235804416,0.7077800000000001,0.19156,0.93,1:07.919,1:31.629,-0.585s/lap
BEA,Haas F1 Team,67.548,92.309,-0.3096876851638836,1180,0.35641012959463153,15,15,1,0.0,0.0,0.00112,0.0049,0.22024684381458745,0.0757362890882068,0.22024684381458745,0.36732,0.75942,0.8,1:07.548,1:32.309,-0.310s/lap
SAI,Williams,68.277,92.1647,-0.20999658514892056,1137,0.325472442315207,16,16,1,0.0,0.0,0.00018,0.00118,0.1042139551086067,0.12932448691364387,0.1042139551086067,0.12796000000000002,0.77658,0.8,1:08.277,1:32.165,-0.210s/lap
OCO,Haas F1 Team,67.842,92.27629999999999,-0.17425666475596657,1135,0.2886009667720639,17,17,1,0.0,0.0,6e-05,0.00042,0.04690102463216837,0.0757362890882068,0.04690102463216837,0.05616,0.24058,0.91,1:07.842,1:32.276,-0.174s/lap
ALB,Williams,68.534,92.4164,-0.3562486374227568,1140,0.24411778401048873,18,18,1,0.0,0.0,0.0,4e-05,0.02570180648540067,0.12932448691364387,0.02570180648540067,0.008620000000000001,0.22342,0.7,1:08.534,1:32.416,-0.356s/lap
PER,Cadillac,68.97,93.47919999999999,-0.42296760513043963,880,0.15303445049570297,19,19,1,0.0,0.0,0.0,0.0,0.002,0.20072591650501867,0.002,0.00016,0.69714,0.746,1:08.970,1:33.479,-0.423s/lap
BOT,Cadillac,69.055,93.9207,-0.16625270093031527,896,0.110885330439567,20,20,1,0.0,0.0,0.0,0.0,0.002,0.20072591650501867,0.002,4e-05,0.30286,0.7,1:09.055,1:33.921,-0.166s/lap
ALO,Aston Martin,69.967,94.7034,-0.8064916862645695,767,0.030371445308736044,21,21,1,0.0,0.0,0.0,0.0,0.002,0.1757279910216563,0.002,0.0,0.83512,0.85,1:09.967,1:34.703,-0.806s/lap
STR,Aston Martin,70.388,94.88419999999999,-0.06841192600066563,688,0.0,22,22,1,0.0,0.0,0.0,0.0,0.002,0.1757279910216563,0.002,0.0,0.16488,0.7,1:10.388,1:34.884,-0.068s/lap
