Driver,Team,BestLap_s,LongRunPace_s,Degradation_s_per_lap,TotalLaps,CompositeScore,PredictedPosition,GridPos,_has_pace,P_Win,P_Podium,P_Top5,P_Top6,P_Top10,P_DNF,P_Points,ExpectedPoints,P_BeatTeammate,Reliability,BestLap_fmt,RacePace_fmt,Degradation_fmt
ANT,Mercedes,66.439,89.8,-0.714002291821852,1108,0.997344117647059,1,1,1,0.41354,0.8168,0.89752,0.89842,0.89842,0.10073421457156917,0.89842,18.10772,0.5546,0.88,1:06.439,1:29.800,-0.714s/lap
RUS,Mercedes,66.138,90.096,-0.407217250099193,1261,0.9590390497593199,2,2,1,0.31458,0.7809400000000001,0.9001800000000001,0.9012800000000001,0.9012800000000001,0.10073421457156917,0.9012800000000001,17.1067,0.4454,0.856,1:06.138,1:30.096,-0.407s/lap
LEC,Ferrari,66.374,89.9678,-0.4232445339173481,1268,0.918696295313292,3,3,1,0.15964,0.66882,0.9197,0.92392,0.9239483240670266,0.0757362890882068,0.9239483240670266,15.280879999999998,0.57792,0.846,1:06.374,1:29.968,-0.423s/lap
HAM,Ferrari,66.433,90.1009,-0.4901491735204638,1195,0.8760205328858474,4,4,1,0.10032,0.55556,0.9143800000000001,0.9213600000000001,0.9239483240670266,0.0757362890882068,0.9239483240670266,14.071740000000002,0.42208,0.95,1:06.433,1:30.101,-0.490s/lap
NOR,McLaren,66.527,90.5677,-0.6262512824954584,1139,0.788255918143989,5,6,1,2e-05,0.00632,0.20904,0.49324,0.8546287567641004,0.10665975660519088,0.8546287567641004,6.03148,0.1804,0.7,1:06.527,1:30.568,-0.626s/lap
VER,Red Bull Racing,66.5,90.213,-0.4569097726075517,1171,0.7749895526390052,6,7,1,2e-05,0.00476,0.15626,0.3713,0.7627967454115094,0.12573214005493152,0.7627967454115094,5.22996,0.486,0.71,1:06.500,1:30.213,-0.457s/lap
PIA,McLaren,66.536,90.6879,-0.7822439198630132,1253,0.7678563474501318,7,5,1,0.0117,0.15710000000000002,0.7541800000000001,0.8302600000000001,0.8754527675100405,0.10665975660519088,0.8754527675100405,9.89832,0.8196,0.77,1:06.536,1:30.688,-0.782s/lap
HAD,Red Bull Racing,66.657,90.5294,-0.5212426277891851,1074,0.6115192637224818,8,8,1,0.00018,0.0084,0.17904,0.40800000000000003,0.8455674980341106,0.12573214005493152,0.8455674980341106,5.661379999999999,0.514,0.76,1:06.657,1:30.529,-0.521s/lap
BOR,Audi,67.318,91.0762,-0.5616943393625967,1057,0.5287941541478629,9,11,1,0.0,2e-05,0.00096,0.0041,0.22024684381458745,0.15503663883938804,0.22024684381458745,0.42103999999999997,0.23948,0.78,1:07.318,1:31.076,-0.562s/lap
LIN,Racing Bulls,67.032,91.1724,-0.2257805982279109,1160,0.5162282821117528,10,10,1,0.0,0.0,0.0007199999999999999,0.00398,0.22024684381458745,0.07790018306215556,0.22024684381458745,0.53232,0.18008,0.78,1:07.032,1:31.172,-0.226s/lap
