Team,ExpectedPoints
Ferrari,18.998599999999996
Mercedes,18.873040000000003
McLaren,16.862160000000003
Red Bull Racing,15.341799999999996
Racing Bulls,8.745920000000002
Alpine,6.47088
Audi,5.8055
Haas F1 Team,4.562759999999999
Williams,3.2032999999999996
Cadillac,1.8035799999999997
Aston Martin,0.33246
