Team,ExpectedPoints
Ferrari,19.4294
Mercedes,19.28616
Red Bull Racing,15.766480000000001
McLaren,14.92824
Racing Bulls,8.933899999999998
Alpine,6.66846
Audi,5.95814
Haas F1 Team,4.67964
Williams,3.18916
Cadillac,1.8181800000000001
Aston Martin,0.34224
