evento,driver,codice,prob_mercato,volume,data
Hungarian Grand Prix: Practice 2 Fastest Lap,Pierre Gasly,GAS,0.45,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Fernando Alonso,ALO,0.45,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Gabriel Bortoleto,BOR,0.45,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Carlos Sainz Jr.,SAI,0.45,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Nico Hulkenberg,HUL,0.45,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Valtteri Bottas,BOT,0.45,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Liam Lawson,LAW,0.45,,2026-06-27
Belgian Grand Prix: Driver Podium Finish,Charles Leclerc,LEC,0.445,676.478972,2026-06-20
Hungarian Grand Prix: Driver Pole Position,Valtteri Bottas,BOT,0.445,50,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Oliver Bearman,BEA,0.445,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Liam Lawson,LAW,0.445,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Oliver Bearman,BEA,0.445,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Audi Revolut,,0.445,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Racing Bulls,,0.445,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Max Verstappen,VER,0.445,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Sergio Perez,PER,0.445,93.93,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Lance Stroll,STR,0.445,94.62,2026-06-27
Belgian Grand Prix: Practice 3 Fastest Lap,Charles Leclerc,LEC,0.44,,2026-06-20
Belgian Grand Prix: Practice 3 Fastest Lap,Lewis Hamilton,HAM,0.44,,2026-06-20
Belgian Grand Prix: Practice 3 Fastest Lap,George Russell,RUS,0.44,,2026-06-20
Hungarian Grand Prix: Driver Pole Position,Lance Stroll,STR,0.44,50,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Gabriel Bortoleto,BOR,0.44,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Valtteri Bottas,BOT,0.44,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Tgr Haas,,0.44,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Kimi Antonelli,ANT,0.44,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Liam Lawson,LAW,0.44,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Charles Leclerc,LEC,0.44,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Kimi Antonelli,ANT,0.44,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Lance Stroll,STR,0.44,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Charles Leclerc,LEC,0.44,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Kimi Antonelli,ANT,0.44,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Max Verstappen,VER,0.44,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Liam Lawson,LAW,0.44,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Fernando Alonso,ALO,0.44,93.57,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Valtteri Bottas,BOT,0.44,93.93,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Arvid Lindblad,LIN,0.435,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Red Bull,,0.435,,2026-06-27
